QuestionType;Question;QuestionID;Answer
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_remy;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_remy;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_remy;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_link;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_link;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_link;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Lloid;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Lloid;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Lloid;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Freddy;3
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Freddy;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Freddy;5
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_Zombiegirl;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_Zombiegirl;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_Zombiegirl;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Ribbot;3
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Ribbot;3
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Ribbot;3
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Atlas;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Atlas;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Atlas;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_minitrileglv1galaxy;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_minitrileglv1galaxy;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_minitrileglv1galaxy;1
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Turret;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Turret;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Turret;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Alice;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Alice;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Alice;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_MedicBot;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_MedicBot;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_MedicBot;2
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Katie;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Katie;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Katie;2
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Duchess;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Duchess;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Duchess;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_MixamoGirl;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_MixamoGirl;3
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_MixamoGirl;5
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Gettie;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Gettie;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Gettie;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Eyebot;3
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Eyebot;3
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Eyebot;3

