QuestionType;Question;QuestionID;Answer
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Turret;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Turret;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Turret;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Freddy;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Freddy;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Freddy;5
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_MixamoGirl;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_MixamoGirl;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_MixamoGirl;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Katie;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Katie;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Katie;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_link;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_link;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_link;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_remy;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_remy;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_remy;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Atlas;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Atlas;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Atlas;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Alice;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Alice;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Alice;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_ACPC_Ribbot;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_ACPC_Ribbot;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_ACPC_Ribbot;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_minitrileglv1galaxy;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_minitrileglv1galaxy;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_minitrileglv1galaxy;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Eyebot;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Eyebot;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Eyebot;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Pose_Zombiegirl;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Pose_Zombiegirl;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Pose_Zombiegirl;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_MedicBot;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_MedicBot;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_MedicBot;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Duchess;6
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Duchess;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Duchess;6
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Lloid;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Lloid;7
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Lloid;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1_Gettie;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2_Gettie;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3_Gettie;7

