QuestionType;Question;QuestionID;Answer
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;1
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;1
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;3
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;3
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;2
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;3
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;3
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;5
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;2
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;1
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;2
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;7
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;1
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;7
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;5
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;6
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;3
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4
radio;Stufen Sie bitte die Menschenähnlichkeit des Avatar's ein.   ;q1;4
radio;Ist das Erscheinungsbild des Avatares unheimlich?;q2;4
radio;Ist das Erscheinungsbild des Avatares sympathisch?;q3;4

