time;EDA.raw;ECG.raw
0.2067095;252;506
0.2281331;252;506
0.2456026;252;506
0.2629763;252;506
0.2853925;252;506
0.3073684;252;506
0.3296592;252;506
0.3572387;252;506
0.3748887;252;506
0.3961828;252;506
0.4185009;252;506
0.440897;252;506
0.4632207;252;506
0.4852049;252;506
0.507347;250;491
0.5296753;250;491
0.5520469;250;491
0.5753842;250;491
0.5985521;250;491
0.6194572;250;491
0.641763;250;491
0.6711644;250;491
0.6898336;250;491
0.7075084;250;491
0.7294358;250;491
0.7515374;250;491
0.773853;250;491
0.7967819;248;509
0.8194411;248;509
0.8418961;248;509
0.8638012;248;509
0.8863767;248;509
0.9083369;248;509
0.9304152;248;509
0.9528641;248;509
0.9799743;248;509
0.9970661;248;509
1.018.354;248;509
1.040.508;248;509
1.062.946;248;509
1.085.054;248;600
1.107.368;247;519
1.134.785;247;519
115.253;247;519
1.174.921;247;519
1.197.438;247;519
1.219.356;247;519
1.241.086;247;519
1.263.275;247;519
128.544;247;519
1.307.248;247;519
1.329.465;247;519
1.351.618;247;519
1.373.742;247;519
1.396.418;247;500
1.418.941;247;516
1.443.742;247;516
1.463.428;247;516
1.485.709;247;516
1.508.003;247;516
1.529.963;247;516
1.552.114;247;516
1.574.455;247;516
1.596.739;247;516
161.891;247;516
1.641.136;247;516
1.663.324;247;516
1.685.588;247;516
1.708.104;247;516
1.730.374;247;516
1.752.673;247;516
1.775.072;247;516
1.797.506;247;516
1.819.818;247;516
1.841.843;247;516
186.451;246;519
1.887.079;246;519
1.916.042;246;519
1.933.899;246;519
1.951.311;246;519
1.973.776;246;519
1.995.865;246;519
2.018.239;246;519
2.040.584;246;519
2.062.512;246;519
2.084.987;246;519
210.698;246;519
2.129.235;246;519
2.151.502;246;512
2.173.641;246;512
2.195.812;246;512
2.223;246;512
2.240.313;246;512
2.262.389;246;512
2.284.588;246;512
2.306.886;246;512
2.329.175;246;512
2.351.328;246;512
2.373.573;246;512
2.395.684;246;512
2.418.049;246;512
2.440.151;246;514
2.462.469;246;514
248.463;246;514
250.679;246;514
2.535.695;246;514
2.552.551;246;514
2.573.404;246;514
2.595.669;246;514
2.617.837;246;514
2.640.413;246;514
2.662.357;246;514
2.684.658;246;514
2.706.786;246;514
2.729.031;246;514
2.751.262;246;507
2.773.508;246;507
2.795.825;246;507
2.818.102;246;507
2.845.775;246;507
2.862.109;246;507
2.884.414;246;507
2.906.682;246;507
2.929.122;246;507
2.951.399;246;507
2.973.252;246;507
2.995.474;246;507
3.017.957;246;507
3.039.925;246;507
3.062.021;246;507
3.084.433;245;542
3.106.865;245;542
3.128.855;245;542
3.157.588;245;542
3.174.252;245;542
3.195.524;245;542
3.217.575;245;542
3.239.917;245;542
3.262.461;245;542
3.284.604;245;542
3.306.675;245;542
3.328.941;245;542
3.364.393;244;496
3.381.863;244;496
339.875;244;496
3.417.134;244;496
3.439.487;244;496
3.468.862;244;496
3.484.641;244;496
3.506.043;244;496
352.826;244;496
3.550.266;244;496
3.572.643;244;496
3.595.083;244;496
3.617.059;244;496
3.639.113;244;496
3.661.566;244;504
3.683.802;244;504
3.705.879;244;504
3.728.156;244;504
3.750.411;244;504
3.777.776;244;504
3.795.125;244;504
3.816.967;244;504
383.928;244;504
3.861.261;244;504
3.883.587;244;504
3.905.866;244;504
3.928.078;244;504
3.950.389;243;493
3.972.455;243;493
3.994.931;243;493
4.016.907;243;493
403.916;243;493
4.061.383;243;493
4.089.462;243;493
4.106.611;243;493
4.127.879;243;493
4.150.132;243;493
4.172.292;243;493
4.194.592;243;493
4.216.751;243;493
4.239.008;243;493
4.261.297;243;493
4.283.571;243;493
4.305.558;243;493
4.327.779;243;493
4.350.097;243;493
4.372.546;243;493
4.395.024;243;493
4.417.643;243;522
4.440.097;243;522
4.462.246;243;522
4.484.581;243;522
4.506.866;243;522
452.892;243;522
4.555.439;243;522
4.573.984;243;522
4.595.536;243;522
4.617.735;243;522
4.639.946;243;522
466.222;243;522
4.684.444;243;522
4.706.563;242;529
4.728.943;242;529
4.750.959;242;529
4.773.147;242;529
4.795.477;242;529
4.817.889;242;529
4.840.307;242;529
486.565;242;529
4.885.217;242;529
4.907.574;242;529
49.299;242;529
4.952.408;242;529
4.974.738;242;529
4.997.569;241;509
5.019.643;241;509
